epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,117.614,0.55167,0.47934,1.00097,0.97361,0.93206,0.97638,0.82674,0.67864,0.53777,1.16037,0.000848969,0.000848969,0.000848969
43,120.282,0.52526,0.46397,0.99188,0.97765,0.96227,0.98012,0.83129,0.59644,0.5184,1.08709,0.000834822,0.000834822,0.000834822
44,123.021,0.50581,0.45718,0.98394,0.98539,0.95762,0.98124,0.82259,0.63672,0.48203,1.09374,0.000820675,0.000820675,0.000820675
45,125.761,0.51688,0.46262,0.9894,0.97594,0.9259,0.97777,0.81895,0.53646,0.49495,1.04845,0.000806528,0.000806528,0.000806528
46,128.679,0.47504,0.42818,0.96712,0.98729,0.95891,0.98419,0.85767,0.68328,0.43058,1.14255,0.00079238,0.00079238,0.00079238
47,131.379,0.50845,0.44763,0.98649,0.98527,0.9633,0.97888,0.85818,0.57982,0.46159,1.06126,0.000778233,0.000778233,0.000778233
48,134.036,0.52518,0.46083,0.99691,0.97718,0.93097,0.96222,0.85493,0.58306,0.65083,1.08382,0.000764086,0.000764086,0.000764086
49,136.631,0.49687,0.43329,0.96653,0.98203,0.96316,0.97818,0.87009,0.51695,0.41381,1.03703,0.000749939,0.000749939,0.000749939
50,139.287,0.48776,0.43173,0.97276,0.97262,0.96411,0.98342,0.76031,0.68375,0.42086,1.15822,0.000735792,0.000735792,0.000735792
51,142.024,0.4947,0.44575,0.98126,0.98761,0.96208,0.98311,0.86532,0.53476,0.42932,1.03976,0.000721645,0.000721645,0.000721645
52,144.663,0.50173,0.44323,0.98813,0.98046,0.95049,0.97485,0.77183,0.77959,0.51469,1.21821,0.000707498,0.000707498,0.000707498
53,147.342,0.485,0.42255,0.97863,0.98061,0.96208,0.98357,0.83823,0.54507,0.39779,1.04212,0.000693351,0.000693351,0.000693351
54,150.096,0.4683,0.42755,0.96712,0.98633,0.96607,0.97958,0.80614,0.55507,0.40353,1.05315,0.000679204,0.000679204,0.000679204
55,152.842,0.4553,0.40104,0.9548,0.98713,0.96222,0.9843,0.8391,0.5616,0.36795,1.06609,0.000665057,0.000665057,0.000665057
56,155.876,0.47754,0.40773,0.97208,0.99177,0.9502,0.97532,0.81671,0.66322,0.43533,1.14384,0.000650909,0.000650909,0.000650909
