epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1167.37,0.55043,0.34313,0.89009,0.99864,0.99555,0.99495,0.94534,0.38917,0.23853,0.78759,0.002921,0.002921,0.002921
44,1195.43,0.55215,0.34058,0.88936,0.99857,0.99406,0.99495,0.94998,0.36502,0.22969,0.78246,0.0028715,0.0028715,0.0028715
45,1223.72,0.54137,0.33462,0.88486,0.99816,0.99489,0.99496,0.94249,0.38995,0.23446,0.78684,0.002822,0.002822,0.002822
46,1251.45,0.53903,0.33704,0.88721,0.99876,0.99441,0.99379,0.94891,0.36613,0.22739,0.77959,0.0027725,0.0027725,0.0027725
47,1278.8,0.5254,0.32754,0.88381,0.9993,0.99607,0.99489,0.95196,0.35249,0.22547,0.77815,0.002723,0.002723,0.002723
48,1306.04,0.52551,0.32564,0.88614,0.99797,0.99403,0.9946,0.94581,0.3761,0.2333,0.78262,0.0026735,0.0026735,0.0026735
49,1333.03,0.51282,0.32245,0.87923,0.99915,0.99465,0.99498,0.93723,0.39409,0.23105,0.78886,0.002624,0.002624,0.002624
50,1360.36,0.52171,0.32551,0.88114,0.99805,0.99599,0.99499,0.94891,0.34577,0.2187,0.77739,0.0025745,0.0025745,0.0025745
51,1387.15,0.52639,0.32413,0.88342,0.99771,0.99581,0.99489,0.95302,0.3559,0.22547,0.78105,0.002525,0.002525,0.002525
52,1413.97,0.50324,0.31436,0.87499,0.99947,0.99506,0.99491,0.9627,0.33086,0.20987,0.7728,0.0024755,0.0024755,0.0024755
53,1441.32,0.51351,0.31875,0.87907,0.99917,0.99465,0.99487,0.94971,0.36045,0.22243,0.77612,0.002426,0.002426,0.002426
54,1468.27,0.49743,0.3115,0.87301,0.9985,0.99496,0.99495,0.96756,0.31761,0.21055,0.77018,0.0023765,0.0023765,0.0023765
55,1495.46,0.49126,0.30945,0.87018,0.99671,0.99654,0.99488,0.96055,0.32711,0.21794,0.76981,0.002327,0.002327,0.002327
56,1522.53,0.49512,0.30684,0.8728,0.9987,0.99594,0.995,0.95744,0.34508,0.21112,0.77537,0.0022775,0.0022775,0.0022775
57,1549.85,0.48704,0.3021,0.87145,0.99949,0.9958,0.99499,0.96491,0.32511,0.2047,0.77058,0.002228,0.002228,0.002228
58,1576.56,0.481,0.30237,0.86865,0.99863,0.99583,0.99498,0.96327,0.32889,0.20803,0.77159,0.0021785,0.0021785,0.0021785
59,1603.26,0.46926,0.29886,0.86483,0.99803,0.99609,0.99492,0.9683,0.31401,0.20635,0.76834,0.002129,0.002129,0.002129
60,1630,0.46786,0.29767,0.86439,0.99946,0.99588,0.99499,0.973,0.3031,0.19696,0.76797,0.0020795,0.0020795,0.0020795
61,1659.75,0.4663,0.29542,0.86428,0.99961,0.99641,0.995,0.97119,0.30715,0.2005,0.76727,0.00203,0.00203,0.00203
62,1691.28,0.45516,0.28967,0.86083,0.99887,0.99641,0.995,0.97147,0.30615,0.19741,0.76719,0.0019805,0.0019805,0.0019805
63,1718.91,0.45896,0.28961,0.86304,0.99903,0.99658,0.995,0.96621,0.31061,0.19485,0.7682,0.001931,0.001931,0.001931
64,1746.3,0.44498,0.28352,0.85843,0.99969,0.99641,0.995,0.96235,0.32003,0.19448,0.7683,0.0018815,0.0018815,0.0018815
65,1795.56,0.44057,0.28162,0.85898,0.99972,0.99593,0.995,0.97697,0.29008,0.19006,0.76233,0.001832,0.001832,0.001832
66,1823.51,0.44271,0.28386,0.85913,0.99954,0.99622,0.995,0.97477,0.28873,0.19276,0.76353,0.0017825,0.0017825,0.0017825
67,1869.85,0.44181,0.28332,0.85706,0.99972,0.99576,0.99499,0.97355,0.28677,0.18983,0.76268,0.001733,0.001733,0.001733
68,1935.77,0.43859,0.28001,0.85442,0.99935,0.99618,0.99499,0.98006,0.27207,0.1834,0.75979,0.0016835,0.0016835,0.0016835
69,1965.06,0.44103,0.27889,0.85566,0.99911,0.99649,0.995,0.97703,0.28078,0.18605,0.76104,0.001634,0.001634,0.001634
70,1994.42,0.42586,0.27476,0.85476,0.99957,0.99582,0.99499,0.97764,0.27942,0.18282,0.76042,0.0015845,0.0015845,0.0015845
71,2022.2,0.42992,0.27473,0.85831,0.99879,0.99668,0.99499,0.98069,0.27492,0.1814,0.75935,0.001535,0.001535,0.001535
72,2049.06,0.42975,0.277,0.85835,0.99963,0.99606,0.99499,0.97774,0.28395,0.18516,0.7614,0.0014855,0.0014855,0.0014855
73,2076.13,0.41792,0.2704,0.85246,0.99963,0.99626,0.995,0.98161,0.26636,0.17681,0.75706,0.001436,0.001436,0.001436
74,2103.47,0.41351,0.26517,0.84984,0.99926,0.99695,0.995,0.98216,0.26269,0.1762,0.75875,0.0013865,0.0013865,0.0013865
75,2130.43,0.4101,0.2663,0.85097,0.9997,0.9963,0.995,0.98006,0.25877,0.17373,0.75516,0.001337,0.001337,0.001337
76,2157.93,0.41743,0.26836,0.8508,0.99948,0.99673,0.995,0.98471,0.25414,0.1735,0.75545,0.0012875,0.0012875,0.0012875
77,2184.66,0.40258,0.26307,0.84817,0.99957,0.99588,0.99499,0.98412,0.24668,0.16998,0.75439,0.001238,0.001238,0.001238
78,2211.87,0.39963,0.26092,0.84861,0.99951,0.99649,0.995,0.98448,0.24665,0.17073,0.75595,0.0011885,0.0011885,0.0011885
79,2238.73,0.40131,0.25914,0.84925,0.99938,0.99692,0.995,0.98571,0.24406,0.16991,0.75467,0.001139,0.001139,0.001139
80,2266.14,0.38942,0.25507,0.84468,0.99965,0.99628,0.995,0.98775,0.23116,0.16199,0.75271,0.0010895,0.0010895,0.0010895
81,2293.16,0.39231,0.25442,0.84825,0.99977,0.99658,0.995,0.98634,0.23512,0.1644,0.75214,0.00104,0.00104,0.00104
82,2320.77,0.38754,0.25322,0.84552,0.99967,0.99651,0.995,0.9868,0.23616,0.16184,0.7509,0.0009905,0.0009905,0.0009905
83,2348.41,0.38241,0.2498,0.84202,0.9998,0.99664,0.995,0.98748,0.22883,0.16201,0.75148,0.000941,0.000941,0.000941
84,2376.36,0.38357,0.2501,0.84528,0.99973,0.9969,0.995,0.98811,0.2271,0.15999,0.74981,0.0008915,0.0008915,0.0008915
85,2404.88,0.37898,0.24767,0.84256,0.99962,0.9967,0.995,0.9873,0.22798,0.15999,0.75094,0.000842,0.000842,0.000842
86,2469.16,0.32552,0.20854,0.80531,0.99938,0.99676,0.995,0.98382,0.24856,0.16721,0.752,0.0007925,0.0007925,0.0007925
87,2499.3,0.3259,0.20425,0.80185,0.99968,0.99687,0.995,0.98521,0.23931,0.16357,0.75217,0.000743,0.000743,0.000743
88,2529.41,0.30014,0.19501,0.79805,0.99944,0.99661,0.995,0.98884,0.21929,0.1577,0.75017,0.0006935,0.0006935,0.0006935
89,2560.4,0.29965,0.19592,0.79951,0.99929,0.99685,0.995,0.98829,0.21406,0.15501,0.7484,0.000644,0.000644,0.000644
90,2595.8,0.28395,0.18821,0.79387,0.99922,0.997,0.995,0.98879,0.21333,0.15399,0.74773,0.0005945,0.0005945,0.0005945
91,2630.64,0.28254,0.18791,0.79597,0.9996,0.99661,0.995,0.98844,0.21275,0.15188,0.74802,0.000545,0.000545,0.000545
92,2659.1,0.27492,0.18459,0.79349,0.99954,0.99639,0.995,0.98996,0.20722,0.15177,0.74921,0.0004955,0.0004955,0.0004955
93,2687.13,0.26766,0.18152,0.79202,0.99977,0.99675,0.995,0.99014,0.20198,0.14901,0.74791,0.000446,0.000446,0.000446
94,2716.21,0.26428,0.17967,0.79295,0.99966,0.99699,0.995,0.99073,0.19818,0.14663,0.7467,0.0003965,0.0003965,0.0003965
95,2748.33,0.25986,0.17758,0.79052,0.99969,0.99667,0.995,0.99094,0.19804,0.14646,0.74629,0.000347,0.000347,0.000347
96,2779.2,0.25651,0.17632,0.79306,0.99977,0.99661,0.995,0.99131,0.1889,0.14351,0.74486,0.0002975,0.0002975,0.0002975
97,2808.66,0.25311,0.17454,0.79059,0.99968,0.99689,0.995,0.99158,0.18814,0.14214,0.74374,0.000248,0.000248,0.000248
98,2837.62,0.24546,0.17058,0.78866,0.99979,0.99643,0.995,0.99176,0.18445,0.14078,0.74342,0.0001985,0.0001985,0.0001985
99,2865.9,0.2414,0.16843,0.78727,0.99949,0.99687,0.995,0.99207,0.18096,0.13848,0.74314,0.000149,0.000149,0.000149
100,2894.71,0.23776,0.16596,0.78648,0.99964,0.99687,0.995,0.99235,0.17886,0.13679,0.74305,9.95e-05,9.95e-05,9.95e-05
